Taiga ticket No.,subject,type,status,finished_date
221,Export option on the Data fixes screen,userstories,Completed,2024-11-22 12:40:17
210,User Profile Management,userstories,Completed,2024-11-23 02:52:48
199,Data fixes for picklist values,userstories,Completed,2024-11-27 11:34:31
194,Field Mapping - Bugs,userstories,Completed,2024-11-12 13:50:16
779,UX Enhancement - Job Detail Modals Updates,userstories,Completed,2025-01-30 04:45:10
780,Review the filters applied on the Object and field level,userstories,Completed,2025-01-27 03:45:59
201,Manually define Data Fix (Find & Replace),userstories,Completed,2024-12-23 09:59:44
189,Miscellaneous UX bugs,userstories,Completed,2024-11-12 15:01:42
211,Job Autosaving functionality,userstories,Completed,2024-11-26 05:57:19
597,Masking of data before sending it to the LLMs,userstories,Completed,2025-01-24 03:46:02
212,Home Screen Dashboard Implementation,userstories,Completed,2024-12-02 12:36:28
754,identify and Handle the corner cases for the Fetch Record Ids,userstories,Completed,2025-01-31 05:02:25
808,Display the appropriate message for the files that has the special characters,userstories,Completed,2025-01-31 07:51:33
69,Adopting SLDS as the Design Theme & React 18 Migration,userstories,Completed,2024-10-30 09:19:26
781,Improve the UX Experience for the columns headers not detected,userstories,Completed,2025-01-28 03:48:02
823,Sandbox Org Support,userstories,Completed,2025-01-31 07:50:50
188,Apply data fixes to source file,userstories,Completed,2024-11-20 11:26:13
790,Google Analytics Events implementation and testing,userstories,Completed,2025-02-25 06:11:39
832,"Add the links for Privacy Policy, Cookies Policy and Terms and Conditions check box on the application",userstories,Completed,2025-01-31 07:52:24
191,UserID and Password based account,userstories,Completed,2024-11-21 07:18:47
14,Notification channels,userstories,Completed,2024-11-27 04:30:24
840,Enable the Option for Signin/SignUp with Salesforce,userstories,Completed,2025-01-30 09:03:24
842,Welcome Email  Corrections,userstories,Completed,2025-01-29 08:02:19
949,Update the new Data iam logo on the app and the email notifications,userstories,Completed,2025-02-17 03:53:01
163,Support for multiple Salesforce orgs using the same user account,userstories,Completed,2024-12-02 11:56:57
229,Compound Fields - Mapping,userstories,Completed,2024-11-13 05:05:06
122,Login to system using salesforce account.,tasks,Completed,2024-10-24 18:23:03
124,Sign In and Sign Up pages - Frontend,tasks,Completed,2024-10-24 18:22:49
125,Common components Creation - Frontend,tasks,Completed,2024-10-24 18:22:51
126,Home Page - Frontend Dev,tasks,Completed,2024-10-24 18:22:54
127,Salesforce Signup and Login backend,tasks,Completed,2024-10-24 18:22:57
129,Data Mapping - Backend,tasks,Completed,2024-10-24 18:22:08
130,Create Insertion Job - UX UI Design,tasks,Completed,2024-08-02 05:36:36
131,Fields Mapping - UX UI Design,tasks,Completed,2024-10-24 18:22:12
132,Connect to Salesforce Instance - UX UI Design,tasks,Completed,2024-08-02 05:37:03
133,Run & Schedule Job - UX UI Design,tasks,Completed,2024-10-24 18:22:15
134,Error handlers - UX UI Design,tasks,Completed,2024-10-24 18:22:17
135,Bug: Token Verification,tasks,Completed,2024-10-24 18:23:00
155,Dtype guessing - ML,tasks,Completed,2024-10-24 18:22:20
156,Data transformations - ML,tasks,Completed,2024-10-24 18:22:23
157,Salesforce Obeject Mapping - ML,tasks,Completed,2024-10-24 18:22:26
158,Salesforce Field Mapping - ML,tasks,Completed,2024-10-24 18:22:29
160,UX UI Design - Finalize graph for column summary graph,tasks,Completed,2024-10-17 12:40:14
161,Column Profile Screen - Add functionality of AI Suggestions,tasks,Completed,2024-10-17 14:10:50
171,ML - Adding custom transformation steps,tasks,Completed,2024-10-17 14:16:05
177,Improve Error Handling in job_file_sample() for Clearer Error Messages,tasks,Completed,2025-01-08 14:59:07
178,Fix job_flow scheduling endpoint,tasks,Completed,2025-01-08 14:59:09
182,ML - AI Suggestions for Data Fixes,tasks,Completed,2024-10-17 14:16:08
183,ML - Summary Stats and SF Validations,tasks,Completed,2024-11-18 06:25:05
184,ML - Capturing metrics of fixes,tasks,Completed,2024-10-17 14:16:12
1186,Scroll experience needs improvement in Windows,issues,Completed,2025-02-27 10:23:18
1184,When resetting password we share private information,issues,Completed,2025-02-26 09:55:30
1180,Emails are coming from wrong address,issues,Completed,2025-02-26 09:59:30
1162,Select Record ID column on data fixes screen,issues,Completed,2025-02-27 10:30:52
1160,Hover help on Mapping Screen has incorrect capitalization,issues,Completed,2025-02-27 11:04:30
1158,"Filter Conditions Reverting to Default ""="" When Adding a New Condition in a Group",issues,Completed,2025-02-26 06:55:53
1157,No Option to Remove Applied Limit in Data Extract Query Builder,issues,Completed,2025-02-27 10:24:36
1156,Profile Photo Upload Allows Invalid File Size & Formats,issues,Completed,2025-02-27 11:22:30
1155,Extract job giving error on a valid query,issues,Completed,2025-02-26 04:01:41
1150,Unsupported browser message should be after each registration or sign in,issues,Completed,2025-02-27 10:31:17
1140,Getting error on update and upsert for contact object,issues,Completed,2025-02-25 07:25:52
1139,"Mismatch in ""Rows with Errors"" Count Between Email and Job Card Detail",issues,Completed,2025-02-25 07:28:01
1137,Inactivity Modal Overlapping Other Modals,issues,Completed,2025-02-27 10:31:48
1136,SOQL Query Error When Changing Org in the Same Job,issues,Completed,2025-02-25 07:28:34
1135,Progress stepper glitches if zoomed out,issues,Completed,2025-02-27 10:32:11
1134,Marketing site updates and the Adding video link on the marketing site and the application dashboard,issues,Completed,2025-02-26 08:34:18
1133,Update Primary Button color across the app.,issues,Completed,2025-03-07 08:08:18
1132,Fetch Record IDs popup,issues,Completed,2025-02-27 10:32:48
1131,Upsert Operation Issue with Criteria column values having null values,issues,Completed,2025-02-25 07:01:07
1130,Update - Duplicate Record Errors file don't have the column names in case source file has the missing columns,issues,Completed,2025-02-27 11:19:13
1129,Unsupported browser message,issues,Completed,2025-02-25 07:10:45
1128,Unsupported Screen Size for mobile,issues,Completed,2025-02-25 07:01:11
1126,Getting error on proceeding to Data Fixes,issues,Completed,2025-02-25 06:58:16
1124,Can't stick to viewing all columns in Data Fixes,issues,Completed,2025-02-25 07:01:15
1123,Update and Upsert is not working as expected in case of duplicate records,issues,Completed,2025-02-25 07:01:17
